trigram,count,frequency
  asj,0,0.000
  ask,10,0.000
  asl,1,0.000
  asm,6,0.000
  asn,3,0.000
  aso,7,0.000
  asp,9,0.000
  asq,0,0.000
  asr,0,0.000
  ass,34,0.001
  ast,34,0.001
  asu,4,0.000
  asv,0,0.000
  asw,2,0.000
  asx,0,0.000
  asy,6,0.000
  asz,0,0.000
  ata,29,0.001
  atb,0,0.000
  atc,11,0.000
  atd,0,0.000
  ate,55,0.001
  atf,0,0.000
  atg,0,0.000
  ath,27,0.001
  ati,20,0.000
  atj,0,0.000
  atk,2,0.000
  atl,5,0.000
  atm,3,0.000
  atn,3,0.000
  ato,11,0.000
  atp,0,0.000
  atq,0,0.000
  atr,4,0.000
  ats,4,0.000
  att,32,0.001
  atu,5,0.000
  atv,0,0.000
  atw,4,0.000
  atx,0,0.000
  aty,10,0.000
  atz,1,0.000
  aua,3,0.000
  aub,5,0.000
  auc,6,0.000
  aud,7,0.000
  aue,1,0.000
  auf,0,0.000
  aug,11,0.000
  auh,0,0.000
  aui,2,0.000
  auj,0,0.000
  auk,4,0.000
  aul,22,0.000
  aum,8,0.000
  aun,14,0.000
  auo,0,0.000
  aup,9,0.000
  auq,0,0.000
  aur,22,0.000
  aus,10,0.000
  aut,8,0.000
  auu,0,0.000
  auv,4,0.000
  auw,1,0.000
  aux,4,0.000
  auy,0,0.000
  auz,2,0.000
  ava,17,0.000
  avb,0,0.000
  avc,0,0.000
  avd,0,0.000
  ave,59,0.001
  avf,0,0.000
  avg,0,0.000
  avh,0,0.000
  avi,20,0.000
  avj,0,0.000
  avk,0,0.000
  avl,0,0.000
  avm,0,0.000
  avn,0,0.000
  avo,8,0.000
  avp,0,0.000
  avq,0,0.000
  avr,0,0.000
  avs,0,0.000
  avt,0,0.000
  avu,2,0.000
  avv,2,0.000
  avw,0,0.000
  avx,0,0.000
  avy,6,0.000
  avz,0,0.000
  awa,18,0.000
  awb,2,0.000
  awc,0,0.000
  awd,2,0.000
  awe,12,0.000
  awf,1,0.000
  awg,1,0.000
  awh,2,0.000
  awi,7,0.000
  awj,0,0.000
  awk,9,0.000
