word,SINGLE_STRATEGY,WEIGHTED_SINGLE,DOUBLE_STRATEGY,WEIGHTED_DOUBLE,TRIPLE_STRATEGY,WEIGHTED_TRIPLE
lingo,7,7,7,8,3,3
lingy,9,8,8,9,5,5
linha,8,8,6,7,6,6
linie,6,5,6,7,4,4
linin,6,9,4,11,10,10
linja,10,10,7,8,5,5
linje,8,7,7,8,5,5
links,7,7,6,5,6,6
linky,10,9,8,8,5,5
linne,6,8,5,6,4,4
linon,6,6,5,10,5,5
linos,6,5,5,4,4,4
linty,5,7,7,4,6,6
linum,7,8,9,6,3,3
linus,6,6,4,3,8,8
lipan,7,6,6,5,5,5
lipin,7,7,6,6,9,9
lippy,9,10,10,8,8,8
lisle,6,6,5,3,6,6
lisle,6,6,5,3,6,6
litas,5,4,4,3,4,4
litch,7,9,6,6,4,4
liter,5,5,4,4,4,4
lithe,7,5,7,5,4,4
lithi,4,4,7,7,4,4
litho,6,8,6,6,6,6
lithy,7,8,8,5,7,7
litra,4,4,5,4,3,3
litus,5,5,4,4,6,6
lived,9,9,5,5,5,5
liven,7,7,6,6,6,6
liver,12,10,7,6,5,5
livid,8,8,7,8,7,7
livor,7,5,5,4,5,5
livre,6,6,6,4,7,7
liwan,8,7,7,6,6,6
llama,5,8,4,10,4,4
llano,5,6,4,6,3,3
lloyd,8,6,11,7,7,7
lludd,8,7,12,6,8,8
loach,6,6,6,6,4,4
loamy,5,6,7,7,6,6
loasa,6,3,5,3,6,6
loath,4,5,6,5,5,5
loave,5,4,6,5,4,4
lobal,9,10,7,11,8,8
lobar,7,6,6,5,5,5
lobby,12,10,11,13,10,10
lobed,8,8,5,5,6,6
local,8,12,6,9,6,6
lochy,10,6,6,6,9,9
locky,11,9,7,8,8,8
locum,9,7,7,6,6,6
locus,7,7,5,5,6,6
lodge,8,7,6,6,7,7
lodha,8,7,7,7,6,6
lodur,5,4,5,4,6,6
loess,5,4,6,4,4,4
lofty,8,7,9,7,6,6
logia,7,6,5,6,5,5
logic,8,7,6,7,7,7
logie,6,5,6,6,6,6
login,6,6,5,6,4,4
logoi,6,5,6,7,8,8
logos,6,5,6,5,6,6
lohan,6,6,6,5,7,7
lohar,6,5,5,4,4,4
lokao,8,6,6,5,5,5
loket,6,6,5,4,5,5
lolly,6,12,7,12,9,9
longa,7,6,5,6,6,6
longe,8,7,6,6,4,4
longs,7,5,5,4,5,5
looby,9,10,8,12,8,8
loony,6,8,5,7,6,6
loopy,8,9,7,11,7,7
loose,6,5,5,4,8,8
loper,6,6,6,5,7,7
loppy,11,9,10,12,11,11
loral,5,5,5,10,4,4
loran,5,4,3,2,5,5
lordy,6,5,6,4,7,7
lored,5,6,4,3,4,4
loren,4,4,4,2,4,4
loric,7,5,4,3,4,4
loris,5,4,4,3,5,5
lorry,5,8,4,6,5,5
lorum,5,6,4,4,5,5
losel,5,4,5,6,7,7
loser,5,4,4,3,6,6
lotic,5,6,5,5,5,5
lotta,5,5,5,5,4,4
lotte,6,7,7,6,5,5
lotto,6,7,7,8,8,8
lotus,6,6,5,4,5,5
louch,9,6,5,7,8,8
louey,7,6,7,6,8,8
lough,10,7,7,8,4,4
louie,5,4,6,7,6,6
louis,7,5,5,4,5,5
loulu,8,7,8,10,10,10
loupe,8,6,7,7,6,6
louse,7,4,5,3,5,5
lousy,6,6,5,5,6,6
louty,7,6,7,6,5,5
lover,8,8,7,6,6,6
lowan,7,7,7,6,6,6
lower,7,7,8,7,8,8
lowly,9,11,8,10,10,10
lowth,8,6,8,6,7,7
loxia,8,7,7,7,6,6
loxic,9,8,7,8,7,7
loyal,7,11,8,12,7,7
lubra,5,5,6,5,6,6
lucan,7,5,7,6,6,6
lucet,7,6,6,5,6,6
lucia,7,6,8,5,6,6
lucid,8,7,7,8,8,8
lucky,9,9,7,9,7,7
lucre,5,4,6,5,6,6
luffa,9,8,8,7,7,7
luger,9,6,7,6,6,6
luian,5,4,6,4,5,5
luigi,6,5,7,6,6,6
luite,5,3,5,5,7,7
lukas,6,5,5,4,6,6
lulab,11,12,6,9,6,6
lumen,7,5,5,5,4,4
lummy,8,9,10,9,5,5
lumpy,9,7,9,8,4,4
lunar,5,4,4,3,5,5
lunch,8,6,6,6,5,5
lunda,7,7,6,5,4,4
lunel,7,6,5,5,5,5
lunes,6,4,4,3,4,4
lunge,8,5,7,7,4,4
lungi,7,4,5,5,4,4
lungy,8,7,7,8,5,5
lunka,8,8,7,6,5,5
lupid,9,8,8,7,8,8
lupis,8,6,6,5,6,6
lupus,7,7,6,6,8,8
lural,6,5,5,9,4,4
lurch,5,7,5,4,6,6
lurer,5,6,5,3,8,8
lurid,6,5,5,4,5,5
lurky,6,7,6,5,7,7
lurry,5,8,5,6,7,7
lushy,7,6,6,4,6,6
lusky,8,7,7,5,8,8
lusty,6,5,5,3,7,7
lutao,7,5,6,5,4,4
luteo,5,5,5,4,4,4
luter,8,5,5,5,5,5
lutra,5,5,5,5,4,4
luxus,8,8,7,7,8,8
lyard,5,5,7,5,6,6
lycid,9,8,8,8,8,8
lycus,8,6,6,5,7,7
lydia,8,6,7,7,7,7
lyery,4,4,5,4,6,6
lying,7,5,7,7,4,4
lymph,8,7,8,7,5,5
lynch,8,7,7,7,6,6
lynne,8,7,6,6,5,5
lyric,7,6,5,4,5,5
lyrid,7,6,6,5,6,6
lysin,7,7,4,4,8,8
lysis,7,9,7,5,7,7
lyssa,7,4,5,3,6,6
lytic,6,7,6,5,6,6
lytta,6,6,6,6,5,5
mabel,7,7,6,5,6,6
macan,9,7,5,5,3,3
macao,9,6,7,9,7,7
macaw,9,9,6,8,6,6
macco,9,7,6,5,7,7
macer,7,6,7,5,5,5
machi,6,6,6,5,5,5
macle,9,5,6,5,7,7
macon,8,7,5,4,3,3
macro,7,5,4,5,4,4
madam,10,10,7,10,9,9
madge,6,9,5,4,4,4
madia,8,7,8,8,4,4
madid,9,10,7,8,8,8
madly,9,8,8,7,8,8
madoc,9,7,7,6,5,5
mafic,10,10,8,7,7,7
mafoo,10,8,10,10,8,8
magas,9,9,5,6,3,3
maggy,13,12,11,11,4,4
maghi,7,7,7,6,5,5
magic,9,9,7,6,4,4
magma,13,14,7,9,3,3
magog,10,9,11,9,2,2
magot,8,7,7,6,3,3
mahar,7,10,5,6,5,5
mahdi,7,7,7,7,7,7
mahoe,7,7,8,7,7,7
mahra,7,9,5,6,5,5
mahri,7,5,5,5,7,7
mahua,7,10,5,6,5,5
maida,7,4,7,8,4,4
maidu,5,9,8,7,6,6
maidy,6,7,7,6,7,7
maiid,5,10,8,7,8,8
maine,6,4,6,5,2,2
mains,5,3,6,5,4,4
maint,5,5,6,5,3,3
maire,3,2,3,4,5,5
maius,6,4,6,5,7,7
maize,7,5,9,6,6,6
major,7,7,6,5,5,5
major,7,7,6,5,5,5
makah,12,10,9,9,8,8
maker,10,10,8,6,4,4
makua,8,9,10,9,10,10
makuk,9,10,11,9,9,9
malar,6,6,3,2,3,3
malax,10,12,5,4,5,5
malay,9,8,4,3,4,4
maleo,6,6,6,5,4,4
malic,6,7,4,3,5,5
malik,7,8,5,4,6,6
malmy,10,6,7,6,8,8
malto,5,5,4,3,5,5
malty,6,6,5,4,6,6
malus,6,5,5,4,7,7
malva,9,7,5,7,5,5
mamba,13,14,7,10,6,6
mambo,10,7,9,9,5,5
mamie,8,6,6,8,5,5
mamma,12,14,6,10,7,7
mammy,11,13,9,12,9,9
manal,8,9,3,3,3,3
manas,7,7,4,4,4,4
mande,9,7,5,4,4,4
maned,8,8,4,3,5,5
manei,4,4,6,5,4,4
manes,5,6,5,4,6,6
maney,7,7,7,6,7,7
manga,8,10,4,10,2,2
mange,5,8,5,4,3,3
mangi,6,5,6,5,5,5
mango,9,7,8,7,2,2
mangy,10,9,10,9,4,4
mania,6,7,6,8,4,4
manic,9,9,5,4,3,3
manid,9,8,7,6,5,5
manis,7,5,5,4,4,4
maniu,8,9,8,7,6,6
manly,8,7,6,5,10,10
manna,7,12,5,10,2,2
manny,10,10,11,10,3,3
manny,10,10,11,10,3,3
manoc,8,6,6,5,4,4
manor,5,5,4,3,3,3
manse,8,3,4,3,5,5
manso,6,5,6,5,4,4
manta,6,10,3,5,3,3
manto,8,6,5,4,3,3
manto,8,6,5,4,3,3
manul,8,6,4,3,9,9
manus,7,6,5,4,8,8
maori,5,4,4,5,4,4
mapau,7,10,8,7,10,10
maple,10,9,7,6,8,8
mappy,12,10,10,9,8,8
maqui,8,8,9,7,7,7
marae,3,10,3,3,5,5
maral,7,8,2,3,4,4
march,8,8,6,5,7,7
march,8,8,6,5,7,7
marci,7,5,5,6,6,6
marco,8,7,6,5,5,5
marco,8,7,6,5,5,5
mardy,9,8,9,8,6,6
marek,10,9,7,6,4,4
marge,7,6,5,4,3,3
maria,4,6,4,7,3,3
maria,4,6,4,7,3,3
marid,8,8,6,4,6,6
marie,4,3,4,3,4,4
mario,6,5,8,6,3,3
maris,4,3,3,2,5,5
marka,7,11,5,6,4,4
marko,10,9,7,5,4,4
marla,4,6,4,6,5,5
marli,6,4,4,3,7,7
marly,8,5,6,5,8,8
marok,10,9,6,4,3,3
marry,5,11,4,9,7,7
marsh,6,5,4,3,8,8
marsh,6,5,4,3,8,8
marsi,5,3,4,3,5,5
martu,9,8,7,6,5,5
marty,10,6,6,5,4,4
masai,5,3,5,5,7,7
masha,7,7,4,6,4,4
mashy,8,7,7,5,6,6
mason,6,5,6,5,4,4
mason,6,5,6,5,4,4
massa,5,7,5,9,5,5
masse,8,4,5,5,6,6
massy,8,6,8,8,7,7
masty,7,6,6,4,5,5
matai,4,6,6,4,6,6
matar,4,8,4,5,4,4
matax,7,10,7,6,7,7
match,9,8,6,5,4,4
mater,8,7,6,4,3,3
matey,8,7,7,6,4,4
matin,6,6,6,5,3,3
matka,6,10,4,7,9,9
matra,6,5,4,5,4,4
matsu,6,4,6,5,8,8
matta,6,11,4,7,10,10
matte,6,6,6,6,4,4
matti,6,7,6,6,7,7
matti,6,7,6,6,7,7
matty,10,9,6,5,6,6
matzo,8,5,8,8,7,7
maugh,10,10,7,6,5,5
maund,7,8,7,6,4,4
mauri,6,6,3,6,5,5
mauve,12,8,9,8,9,9
mavis,8,8,6,5,6,6
mawky,14,10,12,10,12,12
maxim,10,10,7,10,9,9
mayan,8,8,6,6,4,4
maybe,9,8,10,9,10,10
mayda,10,9,8,8,9,9
mayer,8,8,10,8,7,7
mayey,9,9,6,5,7,7
maynt,7,8,5,4,4,4
mayor,6,6,5,4,4,4
mazda,11,10,9,12,8,8
mazed,10,9,5,4,5,5
mazer,11,11,11,9,6,6
mazic,11,11,9,8,8,8
mazur,9,8,5,4,6,6
mazut,10,11,8,7,6,6
mbaya,6,11,6,10,3,3
mbori,6,6,5,6,4,4
mbuba,9,10,8,8,6,6
mckay,9,7,6,5,7,7
mealy,5,5,5,4,5,5
meant,6,6,6,4,2,2
mease,6,7,7,6,4,4
meaty,6,7,7,4,4,4
mecca,7,7,9,7,7,7
mecon,7,7,6,5,6,6
medal,8,6,6,4,6,6
media,6,5,6,5,6,6
media,6,5,6,5,6,6
medic,8,6,7,6,6,6
medic,8,6,7,6,6,6
medio,5,5,8,7,4,4
medoc,8,9,6,7,7,7
meece,7,8,6,8,10,10
meeks,6,7,6,6,7,7
meese,5,10,5,7,8,8
meggy,9,11,10,11,4,4
meile,5,4,6,5,6,6
meith,7,6,7,5,5,5
melam,8,6,6,5,6,6
melas,5,4,3,2,5,5
melch,7,7,7,5,7,7
melee,5,10,6,6,6,6
meles,5,6,4,5,5,5
melia,8,6,6,4,5,5
melic,6,8,7,6,6,6
meloe,6,7,7,5,6,6
melon,7,6,5,3,4,4
melos,5,5,5,4,5,5
mende,7,9,7,10,7,7
mendi,7,4,8,4,5,5
mends,7,5,7,6,6,6
menic,7,7,6,4,4,4
mensa,5,3,5,3,5,5
mense,9,7,6,8,8,8
mensk,8,4,6,7,7,7
merak,9,8,5,4,5,5
merat,6,5,6,5,4,4
merch,8,7,5,3,8,8
mercy,7,6,6,4,7,7
merel,4,6,4,3,5,5
merge,8,6,6,8,4,4
mergh,9,8,9,6,3,3
meril,6,4,4,2,5,5
merit,7,5,6,4,4,4
merle,7,5,5,5,6,6
merop,7,6,7,5,5,5
meros,5,3,4,2,4,4
merry,6,8,7,6,6,6
merse,6,6,5,3,8,8
mesad,6,5,5,4,6,6
mesal,5,4,3,2,5,5
mesem,6,9,5,7,7,7
meshy,9,6,6,5,7,7
mesic,7,6,4,3,7,7
mesne,6,6,5,4,4,4
meson,7,5,5,3,5,5
messe,6,10,6,7,8,8
messy,8,4,6,6,8,8
mesua,6,4,6,6,5,5
metad,7,5,5,4,5,5
metal,6,5,5,3,4,4
metel,5,6,6,4,5,5
meter,7,7,6,5,6,6
metic,7,5,6,4,5,5
metin,6,6,5,5,5,5
metis,5,5,6,5,6,6
metol,6,5,5,3,6,6
metra,5,4,6,4,5,5
metze,8,8,7,6,7,7
meuse,7,8,5,6,8,8
meute,7,8,7,8,6,6
mewer,10,10,10,9,6,6
mezzo,9,9,11,10,5,5
miami,7,7,6,7,7,7
miaow,7,8,8,6,6,6
miasm,7,5,7,5,7,7
miaul,5,6,5,5,5,5
micah,8,6,5,4,6,6
miche,10,6,6,5,4,4
micht,9,8,6,7,5,5
micky,11,9,10,6,4,4
micro,5,4,4,5,3,3
middy,10,10,8,10,7,7
mider,6,8,7,6,4,4
midge,10,7,6,8,4,4
midgy,10,9,9,7,5,5
midst,9,5,7,6,5,5
miffy,12,10,10,10,8,8
might,10,10,10,8,3,3
mikey,9,8,10,10,5,5
mikie,10,10,8,9,6,6
mikir,5,7,5,7,5,5
milan,7,7,4,3,4,4
milch,8,9,5,4,6,6
miler,6,5,4,4,5,5
miles,6,6,4,4,4,4
milha,8,7,6,5,5,5
milky,9,9,8,8,6,6
milla,8,8,7,5,6,6
milla,8,8,7,5,6,6
mille,8,8,6,4,5,5
milly,8,9,6,7,6,6
milpa,7,5,7,6,7,7
milty,6,8,7,4,5,5
mimeo,8,6,9,11,4,4
mimer,9,10,8,7,6,6
mimic,8,13,7,11,6,6
mimly,10,10,8,10,7,7
mimus,11,11,10,6,8,8
minar,6,5,4,3,3,3
mince,8,8,7,5,4,4
miner,8,6,5,4,3,3
mines,6,4,4,4,4,4
minge,11,8,7,7,3,3
mingo,8,7,9,6,3,3
mingy,9,8,10,8,4,4
minim,8,8,7,11,7,7
minny,8,9,6,7,3,3
minor,4,6,4,4,4,4
minos,6,6,5,6,4,4
minot,6,7,6,5,5,5
minty,8,8,8,7,4,4
minus,9,7,4,5,7,7
miqra,7,7,8,9,5,5
mirac,4,3,5,4,6,6
mirak,5,4,7,5,7,7
mirid,4,9,6,8,6,6
mirth,9,7,5,4,4,4
mirza,7,5,6,6,5,5
misdo,7,7,7,6,5,5
miser,8,4,5,4,7,7
misgo,8,8,8,7,3,3
misky,10,8,8,8,5,5
missy,6,7,9,9,6,6
misty,7,8,6,6,4,4
mitch,9,9,7,7,4,4
miter,9,8,6,5,3,3
mitis,6,6,7,6,7,7
mitra,6,5,7,6,4,4
mitra,6,5,7,6,4,4
mitre,4,3,4,4,4,4
mitty,8,9,8,7,6,6
mitua,6,7,5,6,5,5
mixed,9,8,7,8,7,7
mixen,9,7,8,8,5,5
mixer,10,9,9,8,8,8
mizar,11,10,5,4,6,6
mizzy,13,11,11,11,9,9
mneme,6,10,6,8,5,5
mnium,8,6,8,7,4,4
mobby,12,12,15,11,9,9
mobed,10,8,7,7,7,7
moble,10,9,9,9,8,8
mocha,8,10,7,5,4,4
mocha,8,10,7,5,4,4
mocoa,7,12,8,8,5,5
modal,10,7,6,7,5,5
model,9,7,5,6,6,6
modoc,8,8,6,7,8,8
moggy,15,13,10,10,4,4
mogul,10,8,9,6,3,3
mohar,9,8,6,6,5,5
mohel,7,8,7,6,7,7
mohur,6,6,6,5,6,6
moira,5,3,7,6,4,4
moire,4,3,4,8,6,6
moise,6,5,6,6,8,8
moism,7,7,7,6,7,7
moist,5,5,7,7,6,6
moity,6,6,8,7,7,7
mokum,11,13,11,11,12,12
molal,8,9,5,8,5,5
molar,6,5,4,3,4,4
moldy,6,9,6,7,8,8
moler,6,5,5,5,6,6
molge,9,5,7,6,5,5
molka,9,7,8,7,7,7
molle,8,8,7,5,9,9
molly,10,9,6,6,7,7
molly,10,9,6,6,7,7
molpe,9,6,9,5,8,8
momme,12,10,11,11,11,11
mommy,12,14,13,12,12,12
momus,11,12,8,11,9,9
monad,7,6,6,5,5,5
monal,8,7,7,6,3,3
monas,4,4,4,3,4,4
monel,6,6,5,3,4,4
monel,6,6,5,3,4,4
moner,9,8,8,6,3,3
money,8,7,7,9,5,5
mongo,8,8,8,7,5,5
monny,7,10,7,9,4,4
monte,8,6,7,6,4,4
month,8,11,6,6,8,8
montu,6,9,8,8,7,7
monty,7,10,7,7,5,5
mooch,8,8,8,6,7,7
moody,10,11,11,10,10,10
mools,6,6,6,6,8,8
moony,9,9,8,8,4,4
moore,4,7,6,7,5,5
moorn,7,7,6,7,5,5
moors,4,5,6,6,6,6
moory,6,9,6,6,7,7
moosa,5,6,6,6,5,5
moose,8,8,5,8,6,6
moost,8,6,8,8,7,7
mooth,9,10,11,8,7,7
mopan,10,7,4,6,4,4
moper,10,9,9,8,7,7
mopla,8,7,8,8,6,6
moppy,13,11,11,9,11,11
mopsy,11,7,8,9,8,8
mopus,12,8,9,10,10,10
moqui,6,6,9,10,9,9
moral,8,7,4,6,5,5
moran,7,6,7,5,3,3
morat,7,6,5,4,4,4
moray,5,4,6,5,6,6
mordv,10,6,10,6,8,8
morel,5,6,5,3,6,6
mores,5,4,4,3,5,5
morga,6,7,6,6,3,3
moric,10,8,5,6,4,4
morin,8,5,4,4,4,4
mormo,8,9,7,11,4,4
morne,6,4,5,5,3,3
moroc,7,7,6,5,5,5
moron,7,8,5,6,5,5
morph,8,8,9,8,8,8
morse,8,5,6,6,6,6
morse,8,5,6,6,6,6
morth,9,7,8,6,7,7
morus,6,6,4,4,6,6
moses,6,9,5,6,6,6
mosey,8,7,9,7,5,5
mosgu,10,7,7,9,6,6
mossi,5,5,6,8,7,7
mossy,9,8,8,7,6,6
moste,6,4,4,5,5,5
mosul,8,6,7,5,7,7
mosur,6,4,5,4,5,5
moted,8,8,4,5,6,6
motel,6,7,6,6,5,5
moter,9,7,7,6,4,4
motet,7,9,7,7,8,8
motey,8,9,6,6,7,7
mothy,10,10,9,9,5,5
motif,8,7,9,7,7,7
motor,6,8,5,4,5,5
motte,8,7,9,8,5,5
motto,7,8,9,8,6,6
moudy,10,10,11,10,9,9
mould,9,7,7,8,8,8
moule,8,5,8,8,7,7
mouls,7,5,5,5,8,8
mouly,10,8,6,7,8,8
mound,9,10,8,9,4,4
mount,8,8,6,6,5,5
mourn,8,7,8,6,4,4
mouse,10,8,4,9,7,7
mousy,10,6,9,9,7,7
mouth,9,11,9,7,6,6
mover,12,11,10,9,5,5
movie,9,9,10,10,10,10
mowch,11,10,10,9,8,8
mower,11,10,11,10,8,8
mowha,10,11,8,7,5,5
mowie,9,9,9,9,9,9
mowra,6,9,9,8,5,5
mowse,10,9,7,8,9,9
mowth,10,10,10,9,8,8
moyen,7,8,12,10,5,5
moyle,9,8,10,10,10,10
mpret,6,8,8,3,4,4
muang,9,8,7,8,2,2
mucic,10,10,11,8,7,7
mucid,8,10,8,8,6,6
mucin,9,8,7,8,5,5
mucky,11,11,10,8,6,6
mucor,7,8,6,5,5,5
mucro,8,7,7,6,4,4
mucus,10,9,8,8,7,7
mudar,9,8,6,6,5,5
mudde,11,10,9,8,8,8
muddy,9,13,10,11,7,7
mudee,7,11,6,8,6,6
mudir,4,6,5,6,4,4
mudra,7,7,6,5,5,5
muffy,13,12,11,13,9,9
mufti,6,9,9,9,6,6
mufty,9,10,10,8,6,6
muggy,12,10,8,9,5,5
mugil,8,9,8,6,4,4
muist,6,7,9,8,6,6
mukri,6,6,5,7,6,6
mukti,5,8,8,8,7,7
mulch,8,9,6,5,6,6
mulct,6,7,6,5,6,6
muley,7,9,8,7,6,6
mulga,9,8,6,6,4,4
mulla,8,9,8,6,6,6
mulse,9,6,5,6,6,6
mummy,10,16,12,12,8,8
mumps,9,7,6,7,8,8
munch,9,11,7,8,6,6
munda,6,9,8,8,4,4
munga,7,9,8,8,3,3
munge,9,9,7,7,4,4
mungo,8,8,8,7,4,4
mungy,10,11,9,9,5,5
munia,6,6,7,7,4,4
muong,8,8,7,6,2,2
mural,7,6,5,4,5,5
muran,6,5,7,5,4,4
murat,8,7,5,3,5,5
murex,7,8,7,5,6,6
murga,6,6,6,7,4,4
murid,7,8,5,6,6,6
murky,12,11,8,7,7,7
murly,9,8,4,5,6,6
murmi,7,8,6,7,5,5
murph,11,9,8,9,8,8
murra,5,9,5,5,4,4
murre,4,6,3,4,6,6
murut,8,8,5,8,6,6
murva,7,7,7,8,5,5
murza,8,8,8,9,6,6
musal,7,4,5,3,5,5
musar,5,5,4,5,4,4
musca,6,6,6,5,5,5
musci,6,5,8,6,5,5
mused,9,8,7,6,5,5
muser,7,6,6,5,4,4
musgu,9,8,10,6,6,6
musha,7,8,5,5,4,4
mushy,9,10,9,8,6,6
music,8,8,5,5,6,6
musie,6,5,5,5,5,5
musky,10,9,10,8,7,7
mussy,8,8,9,9,8,8
musty,9,9,7,8,5,5
mutch,11,9,8,7,5,5
muter,11,8,8,7,5,5
mutic,8,8,9,7,5,5
muzzy,14,15,12,14,10,10
myall,5,7,6,6,6,6
mymar,10,10,7,7,5,5
myoid,9,8,10,8,5,5
myoma,8,8,8,9,4,4
myope,10,6,10,10,6,6
myops,8,7,6,7,7,7
myopy,9,8,9,10,8,8
myron,8,7,5,6,4,4
myron,8,7,5,6,4,4
myrrh,5,8,4,6,7,7
mysel,6,5,5,6,6,6
mysid,6,7,6,8,7,7
mysis,6,9,8,9,8,8
nabak,8,9,7,7,7,7
nabal,8,9,6,6,7,7
nabby,11,9,9,9,7,7
nabla,6,8,5,6,4,4
nable,7,5,6,5,5,5
nabob,8,7,9,8,4,4
nacre,4,3,6,4,5,5
nacry,7,6,7,5,6,6
nadir,5,5,5,4,5,5
naggy,12,10,10,10,3,3
naght,7,8,7,6,5,5
nagor,7,7,6,5,3,3
nahor,6,6,5,4,4,4
nahua,7,8,8,6,5,5
nahum,8,7,6,5,4,4
naiad,4,6,8,5,6,6
naias,3,4,6,4,5,5
naily,4,4,6,5,4,4
nairy,7,4,7,5,4,4
naish,5,3,5,5,6,6
naive,6,4,6,5,4,4
naked,6,7,5,4,6,6
naker,9,7,6,5,4,4
nakir,6,6,6,5,4,4
nakoo,8,8,9,10,4,4
namaz,10,8,4,6,4,4
nambe,8,6,8,8,5,5
namda,6,10,5,8,3,3
namer,8,6,5,4,4,4
nance,8,4,8,9,8,8
nancy,9,9,7,7,8,8
nancy,9,9,7,7,8,8
nanda,5,13,6,13,6,6
nandi,7,7,7,7,5,5
nandi,7,7,7,7,5,5
nandu,7,8,9,10,6,6
nanes,5,6,6,5,9,9
nanga,6,14,5,12,7,7
nanny,8,14,8,12,8,8
nanny,8,14,8,12,8,8
nantz,7,10,7,6,8,8
naomi,6,5,7,6,4,4
naoto,5,6,5,4,4,4
napal,7,8,7,5,6,6
napoo,7,7,8,9,3,3
nappe,9,8,9,9,10,10
nappy,10,6,8,8,8,8
naren,5,4,4,5,7,7
nares,4,3,3,2,4,4
naric,5,4,4,3,4,4
narky,7,5,5,4,5,5
narra,3,6,2,5,3,3
nasab,7,7,6,5,5,5
nasal,6,6,5,5,4,4
nasch,8,5,6,4,6,6
nassa,4,5,6,7,6,6
nasty,7,5,8,5,5,5
nasua,5,7,7,6,6,6
nasus,5,8,7,7,9,9
natal,5,5,4,3,5,5
natal,5,5,4,3,5,5
natch,7,6,7,6,7,7
nates,6,5,5,4,6,6
nathe,7,6,7,6,5,5
natty,6,7,6,5,6,6
naumk,8,8,8,7,5,5
naunt,6,12,8,11,4,4
naval,9,10,8,7,8,8
navar,6,10,8,5,4,4
navel,5,6,4,3,4,4
navet,6,7,6,5,5,5
navew,7,9,8,7,6,6
navvy,13,11,11,11,6,6
nawab,9,9,7,7,8,8
nayar,5,9,9,6,5,5
nazim,7,6,6,5,5,5
nazir,7,7,7,6,6,6
neath,5,6,4,3,3,3
nebby,10,10,7,9,9,9
nebel,7,10,5,6,7,7
neddy,9,7,6,7,8,8
needs,5,6,5,5,5,5
needy,6,7,5,8,5,5
neeld,5,6,5,4,6,6
neele,5,9,4,5,7,7
neese,4,6,4,5,5,5
neeze,6,10,5,11,8,8
neffy,11,11,10,10,10,10
neger,7,8,7,5,5,5
negro,7,5,4,4,3,3
negro,7,5,4,4,3,3
negus,6,6,6,5,5,5
negus,6,6,6,5,5,5
neigh,6,4,7,5,4,4
neist,4,3,4,3,5,5
nejdi,7,5,7,5,7,7
nelly,7,6,5,4,7,7
nenta,4,8,4,4,5,5
neoza,6,5,7,5,6,6
nepal,7,4,4,3,5,5
neper,6,7,6,4,7,7
nerve,5,5,9,5,7,7
nervy,9,5,6,4,6,6
nesty,6,5,4,3,4,4
neter,5,6,4,3,6,6
netop,6,6,4,5,5,5
netty,6,8,5,6,5,5
netty,6,8,5,6,5,5
neuma,5,6,6,4,6,6
neume,5,8,8,7,6,6
nevel,9,12,6,8,8,8
never,8,9,5,6,6,6
nevoy,8,8,9,5,5,5
nevus,7,7,7,5,8,8
newar,6,4,9,7,5,5
newel,8,11,7,7,6,6
newly,6,5,6,5,8,8
newsy,7,4,6,6,7,7
nexal,8,5,5,4,6,6
nexum,10,8,8,7,6,6
nexus,8,8,8,7,7,7
ngaio,7,5,4,5,3,3
ngapi,7,6,5,6,3,3
ngoko,7,7,7,6,4,4
niall,4,6,4,4,6,6
niata,3,6,4,7,3,3
nibby,11,11,11,11,6,6
niche,6,8,6,6,5,5
nicky,10,9,7,7,6,6
nicol,5,7,5,3,5,5
nidal,7,7,5,4,7,7
nidge,9,5,5,6,3,3
nidor,4,5,6,5,5,5
nidus,6,5,5,6,7,7
niece,5,9,5,6,7,7
niels,6,4,5,5,6,6
niepa,5,4,6,6,7,7
nieve,6,11,6,9,6,6
nific,7,7,6,8,6,6
nifle,7,7,6,6,7,7
nifty,7,8,8,7,7,7
nigel,5,5,5,4,5,5
night,6,8,7,6,5,5
nigre,5,4,3,6,5,5
nigua,7,6,6,7,5,5
nihal,8,8,6,5,9,9
nikau,9,9,6,4,7,7
nikko,6,7,9,7,4,4
nilot,5,6,5,4,5,5
nimbi,6,6,6,8,4,4
ninja,8,7,9,9,7,7
ninny,9,12,7,14,9,9
ninon,7,8,5,8,6,6
ninon,7,8,5,8,6,6
ninox,7,10,8,9,6,6
ninth,7,10,6,7,5,5
nintu,6,9,7,8,7,7
ninut,5,9,7,8,6,6
niobe,6,6,9,10,6,6
niota,4,5,5,6,4,4
nippy,9,10,6,8,7,7
nisan,5,5,4,5,8,8
nisei,5,3,5,4,5,5
nisse,5,3,6,5,6,6
nisus,5,5,5,5,7,7
nitch,7,7,5,6,5,5
niter,6,5,5,4,4,4
nitid,6,6,6,7,7,7
niton,5,6,6,7,7,7
nitro,4,4,3,6,3,3
nitty,6,8,8,6,6,6
niuan,8,10,8,9,10,10
nival,9,9,7,6,8,8
nixie,7,6,10,11,9,9
nizam,10,9,6,4,4,4
nizam,10,9,6,4,4,4
njave,5,6,3,6,3,3
nobby,10,10,11,12,7,7
noble,8,7,7,7,6,6
nobly,7,7,7,7,7,7
nodal,7,5,6,5,7,7
noddy,10,9,9,11,8,8
noded,9,9,6,8,7,7
nodus,7,8,6,8,6,6
noemi,5,5,7,6,5,5
nogai,4,3,7,5,5,5
nogal,9,7,7,6,4,4
nohow,7,9,7,8,7,7
noily,6,5,5,7,6,6
