word,SINGLE_STRATEGY,WEIGHTED_SINGLE,DOUBLE_STRATEGY,WEIGHTED_DOUBLE,TRIPLE_STRATEGY,WEIGHTED_TRIPLE
arson,6,3,5,3,5,5
arsyl,6,3,7,2,7,7
artal,5,6,4,4,4,4
artar,4,6,3,6,6,6
artel,5,3,5,4,3,3
artha,6,6,5,5,3,3
artie,5,2,6,5,4,4
aruac,7,6,7,4,7,7
aruke,8,5,8,8,10,10
arulo,5,3,6,4,9,9
arupa,5,7,5,6,5,5
arusa,4,2,4,5,4,4
arval,7,8,6,6,4,4
arvel,7,5,7,6,6,6
aryan,5,6,4,4,7,7
arzan,6,7,5,5,8,8
arzun,5,6,6,7,6,6
asale,2,3,3,4,3,3
asana,3,4,4,6,5,5
asaph,3,8,4,7,6,6
asarh,5,5,5,5,8,8
ascan,5,5,5,5,8,8
ascii,5,5,6,6,6,6
ascon,5,4,5,5,4,4
ascot,5,6,5,4,3,3
ascot,5,6,5,4,3,3
ascry,5,4,5,6,4,4
ascus,8,9,7,8,5,5
asdic,7,3,6,6,5,5
ashen,4,3,4,4,4,4
asher,5,4,5,4,3,3
ashes,8,7,6,7,5,5
ashet,6,4,5,5,3,3
ashir,5,3,6,5,3,3
ashur,5,4,5,4,4,4
ashur,5,4,5,4,4,4
asian,4,3,4,4,8,8
aside,6,2,6,4,3,3
askar,6,5,8,4,6,6
asker,7,6,7,6,5,5
askew,7,5,5,5,5,5
askip,8,5,8,6,6,6
askos,8,7,8,8,5,5
aslop,6,6,4,5,4,4
asoak,7,6,7,3,8,8
asoka,4,7,8,5,5,5
aspen,5,4,5,5,5,5
asper,6,5,6,5,4,4
aspic,8,4,5,5,4,4
assai,4,5,7,6,8,8
assam,6,7,6,5,3,3
assay,5,6,8,7,9,9
asset,5,4,4,5,4,4
assis,6,7,6,6,6,6
astay,6,7,5,5,5,5
aster,4,3,4,3,2,2
astir,4,2,6,5,5,5
astor,5,4,4,3,3,3
astur,6,5,5,4,4,4
asuri,4,3,4,4,3,3
asway,7,8,8,6,9,9
aswim,9,6,7,6,6,6
asyla,6,6,6,5,4,4
atavi,6,10,5,6,4,4
ataxy,7,8,8,8,5,5
ateba,3,5,6,6,4,4
atelo,5,4,4,4,4,4
athar,5,5,3,6,4,4
atilt,5,4,6,4,5,5
atlas,6,6,3,4,5,5
atlas,6,6,3,4,5,5
atlee,4,5,3,4,4,4
atman,7,6,7,6,4,4
atmid,8,6,8,7,6,6
atmos,5,5,6,4,5,5
atnah,4,5,4,6,4,4
atoke,6,4,7,6,5,5
atoll,6,5,3,4,8,8
atomy,8,6,6,7,4,4
atone,4,3,5,5,4,4
atony,5,4,5,6,4,4
atopy,9,7,7,8,7,7
atour,5,4,4,4,4,4
atria,3,6,2,7,5,5
atrip,6,5,6,6,5,5
attar,5,6,4,7,4,4
atter,6,6,5,5,3,3
attic,7,4,5,6,5,5
attic,7,4,5,6,5,5
attid,8,5,6,7,6,6
atule,5,4,5,4,6,6
atune,5,4,6,6,4,4
atwin,6,5,5,6,6,6
atypy,7,7,8,7,8,8
aucan,8,6,6,6,9,9
audio,6,5,6,6,7,7
audit,9,5,7,6,6,6
aueto,5,5,5,5,6,6
augen,5,5,7,7,3,3
auger,8,6,10,10,3,3
aught,9,7,6,8,4,4
augur,6,7,6,5,5,5
aulae,4,6,6,4,4,4
aulic,5,4,5,4,6,6
auloi,5,5,5,5,6,6
aulos,5,4,4,5,5,5
aumil,6,5,5,5,4,4
aurae,3,4,5,4,3,3
aural,4,6,4,4,5,5
aurar,2,5,2,8,8,8
auric,5,3,5,4,5,5
aurin,4,3,4,3,4,4
aurir,3,4,3,4,5,5
aurum,7,7,5,6,4,4
auryl,6,5,4,4,4,4
autem,5,4,6,4,4,4
auxin,8,7,5,10,8,8
avahi,7,12,6,7,8,8
avail,4,7,3,5,4,4
avars,6,4,6,5,7,7
avast,4,5,6,7,4,4
avena,6,5,4,5,3,3
avens,5,3,5,4,4,4
avera,3,7,2,5,2,2
avert,4,5,4,5,3,3
avery,5,6,4,6,3,3
avian,6,6,6,6,6,6
avick,9,8,6,6,4,4
avine,5,4,5,6,3,3
aviso,8,3,8,8,7,7
avoid,8,7,6,7,5,5
awabi,9,8,7,9,8,8
awaft,8,10,9,8,7,7
await,5,8,5,9,6,6
awake,6,13,11,12,5,5
awald,5,7,5,8,5,5
awalt,4,6,4,5,3,3
awane,5,6,4,6,3,3
award,3,8,5,9,6,6
aware,2,5,4,7,5,5
awash,6,3,6,7,6,6
awave,7,14,10,11,6,6
awber,9,7,8,8,8,8
aweek,5,10,8,9,9,9
aweel,4,7,5,5,5,5
awest,8,2,5,4,3,3
aweto,6,6,6,6,5,5
awful,9,6,7,7,9,9
awhet,10,7,6,6,8,8
awhir,5,4,6,5,5,5
awide,9,7,8,10,8,8
awing,9,6,8,7,3,3
awink,8,6,8,7,4,4
awiwi,8,10,10,9,13,13
awned,7,6,6,7,4,4
awner,4,4,5,5,3,3
awoke,12,7,8,9,9,9
awork,7,7,7,10,8,8
axial,6,4,7,7,8,8
axile,7,5,8,6,8,8
axine,7,6,7,8,4,4
axiom,8,4,7,8,5,5
axion,5,4,6,8,6,6
axite,10,8,7,5,6,6
axled,8,5,5,6,6,6
axman,10,8,9,9,5,5
axoid,9,8,7,8,10,10
ayelp,6,6,6,8,4,4
aylet,6,5,6,5,7,7
ayllu,8,5,4,4,5,5
ayond,7,6,8,8,5,5
ayont,6,5,5,7,5,5
ayous,6,6,8,5,6,6
azide,10,8,9,11,9,9
azine,6,5,6,7,5,5
azoch,12,7,6,5,8,8
azofy,11,10,11,10,10,10
azoic,7,8,8,6,6,6
azole,7,6,5,8,6,6
azote,7,4,8,6,5,5
azoth,7,6,7,6,5,5
azoxy,11,10,12,10,10,10
aztec,6,5,5,6,7,7
azure,6,4,5,7,7,7
azury,5,5,5,6,5,5
azyme,9,9,6,10,5,5
babai,8,8,8,7,9,9
babby,14,16,9,11,7,7
babel,10,10,8,9,9,9
baboo,9,12,10,11,7,7
babua,10,9,10,12,7,7
babul,10,8,8,6,9,9
bacao,10,7,9,6,8,8
bacca,6,10,6,6,8,8
bache,10,6,8,7,6,6
bacis,8,6,7,6,6,6
bacon,9,8,6,5,5,5
badan,12,10,9,7,8,8
badge,8,11,7,6,7,7
badly,11,10,9,8,7,7
badon,10,10,8,7,7,7
baffy,16,13,11,8,8,8
bafta,8,8,8,9,7,7
bagdi,9,10,10,9,6,6
bagel,11,9,8,7,5,5
baggy,15,12,10,9,7,7
bagre,3,5,6,4,4,4
bahai,7,6,8,6,9,9
baham,11,11,6,9,5,5
bahan,10,9,8,8,7,7
bahar,8,8,6,8,5,5
bahay,10,10,9,9,10,10
bahoe,8,8,9,8,7,7
bahoo,9,11,8,7,8,8
bahur,7,6,7,5,6,6
bahut,8,8,9,8,9,9
baioc,4,6,7,6,9,9
bairn,7,5,6,6,5,5
baith,5,6,6,5,6,6
baize,8,8,10,10,11,11
bajan,14,12,10,9,9,9
bajau,11,11,10,9,11,11
bajra,9,11,10,11,7,7
bajri,8,6,7,9,8,8
bakal,12,13,11,7,7,7
baked,11,8,9,8,9,9
baken,10,7,8,7,9,9
baker,12,11,9,7,7,7
bakie,6,6,8,6,8,8
bakli,5,5,7,6,7,7
balai,6,7,6,5,7,7
balak,8,11,7,6,8,8
balan,7,10,4,3,5,5
balao,6,7,8,7,9,9
balao,6,7,8,7,9,9
balas,7,7,5,4,8,8
baldy,9,9,6,6,8,8
balei,4,4,8,7,10,10
baler,9,8,5,4,5,5
balky,11,7,7,5,7,7
balli,5,5,6,5,6,6
bally,10,12,6,6,8,8
balmy,10,8,7,6,7,7
baloo,7,9,7,6,7,7
balor,5,5,5,4,5,5
balow,8,8,8,5,6,6
balsa,7,4,6,7,7,7
balti,4,4,5,4,7,7
balut,6,6,5,4,5,5
balza,11,10,7,9,9,9
banak,10,10,7,6,6,6
banal,9,10,5,5,4,4
banat,5,5,5,5,5,5
banba,10,12,8,10,6,6
banca,5,9,6,6,4,4
banco,8,6,6,5,4,4
banda,10,10,7,9,3,3
banda,10,10,7,9,3,3
bande,10,8,6,5,5,5
bandi,8,6,8,6,4,4
bando,7,8,9,7,4,4
bandy,12,11,10,8,4,4
banff,11,11,12,11,7,7
banga,11,11,6,8,3,3
bange,7,10,7,6,4,4
banig,11,11,8,7,2,2
banjo,11,9,10,8,6,6
banky,13,11,11,9,5,5
